"","fut","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"213",2041-08-01,0,0.0666666666666667,0,0,6.88333333333333,0.2,0,0.1,18.55625,4.7
"214",2041-08-02,0.3,0,0.25,0.1,0,13.68,0,0,0,0
"215",2041-08-03,10.3,39.0137387387387,0,1.4,0,0,0,0,2.03333333333333,0.2
"216",2041-08-04,0,46.2397982804232,9.3,0,0.55,0,4.175,0,0,0
"217",2041-08-05,17.3467336683417,31.3,19.4826086956522,0,9.6,3.64347826086959,0.8,0,0,0
"218",2041-08-06,8.91428571428571,11.9,0,0.7,17.8125,6,3.7,0,0,0
"219",2041-08-07,1.25217391304352,3.7,0,0,5.82,0,0,0,2.3,0
"220",2041-08-08,10.3,14.5545454545455,0,0,3.3,9.5,0,8.7,2.3,0.166666666666606
"221",2041-08-09,8.57142857142857,25.64,0,0.1,0,0.2,0,0,7,3.275
"222",2041-08-10,0,0,0.7,4.0700000000001,0,0.116666666666606,0.1,0,37.1950322580645,20.21
"223",2041-08-11,0,19.2319999999999,0,0.25,0.166666666666606,0,3.4,1.4,19.4473684210526,1.9
"224",2041-08-12,0,14.6636363636364,0,0,11.5666666666667,1.92857142857147,12.3966386554622,8.7,15.5230769230769,2.6
"225",2041-08-13,0,26.85,0.2,0,1.6,5.66,5.7,0.1,0.1,0
"226",2041-08-14,26.025,0.3,0,0.75,1.7,4.9,0.1,1.9,14.1,11.1
"227",2041-08-15,2.9,0.3,0,0,9.5,0,0,16.5230769230769,1.2,2.2
"228",2041-08-16,0,18.9988571428571,0,10.6,10.8714285714286,0,12.5983193277311,0,4.25,1.76666666666667
"229",2041-08-17,5.44,12.4,0,0,2.1,13.57,0,0,0.0666666666666667,1.76666666666667
"230",2041-08-18,8.74285714285714,22.9272727272727,0,0,14,0.1,0,0,0,0
"231",2041-08-19,0.2,5.1,3.95,7.98333333333333,1.3,60.4898108259974,0,25.31,0,7.42
"232",2041-08-20,1,8.9,0,0,0.5,4.1,0.1,2.6,1.9,0.4
"233",2041-08-21,0,0,0,0,5.2,0.8,2.9,0.166666666666606,0,0
"234",2041-08-22,21.8818181818182,3.6,0.1,0,0,0,0,0,0,0
"235",2041-08-23,9.11666666666667,0.8,0,0,3,0,0,0,0,1.83333333333333
"236",2041-08-24,0.3,0,3.05,0,4.6,1.6,0,0.5,17.4833333333333,33.9538888888889
"237",2041-08-25,1.31538461538487,0,0.5,0.25,0,0,0,0,1.4,0
"238",2041-08-26,0,0,0,0,0,0,0,0.4,0,1.3
"239",2041-08-27,0,0,0,0,0.95,0,9.1,3.1,4.53333333333333,4.5
"240",2041-08-28,0,0,0,0,0.1,0,0,0.5,0.4,9.2625
