Date,CNRMCCLM,CNRMRCA,ECEARTHCCLM,ECEARTHHIRHAM,ECEARTHRACMO,ECEARTHRCA,HADGEMRCA,IPSLRCA,MPICCLM,MPIRCA
1971-07-06,4.0,2.5,0.1,19.9,0.0,0.1,17.4,0.0,0.3,0.3
1971-07-07,0.1,0.0,3.4,0.0,5.7,2.2,6.3,0.0,0.0,0.1
1971-07-08,0.1,0.0,24.0,0.1,17.0,11.1,0.1,0.0,2.1,0.0
1971-07-09,1.8,0.0,32.0,0.0,9.6,31.1,0.1,0.0,0.0,0.0
1971-07-10,0.7,0.0,67.1,0.0,2.9,7.5,0.1,0.1,0.2,0.0
1971-07-11,0.9,0.0,9.9,0.0,10.5,2.0,14.6,0.2,2.4,0.0
1971-07-12,0.7,0.0,2.2,0.1,4.8,5.3,4.7,0.1,0.0,0.0
1971-07-13,0.1,0.3,0.3,0.0,0.1,0.5,14.3,0.1,0.1,8.5
1971-07-14,0.2,0.0,0.1,0.0,4.5,5.1,5.0,0.1,34.4,16.6
1971-07-15,19.0,1.1,0.8,0.1,2.6,0.1,2.2,4.0,0.1,0.1
1971-07-16,0.3,0.0,63.0,7.9,1.5,0.1,24.3,0.0,0.4,0.1
1971-07-17,0.1,0.0,7.8,0.0,0.0,0.0,14.2,0.0,0.2,0.1
1971-07-18,0.1,0.0,0.5,0.2,0.3,0.0,0.1,0.0,0.0,0.0
1971-07-19,0.1,3.8,4.9,19.9,0.0,0.0,0.0,0.0,0.0,0.1
1971-07-20,0.1,0.8,7.3,2.2,0.0,0.9,0.0,0.3,4.1,16.8
1971-07-21,0.5,4.1,0.0,8.0,0.3,0.2,13.7,0.5,0.0,0.0
1971-07-22,0.1,0.0,0.3,26.2,0.0,0.9,0.3,27.0,0.0,0.0
1971-07-23,0.1,0.0,4.3,0.2,0.1,6.0,0.9,3.4,1.2,0.0
1971-07-24,0.1,0.0,0.4,6.2,0.0,0.0,0.0,0.4,0.1,0.0
1971-07-25,0.1,0.0,0.1,27.8,0.0,0.0,0.1,0.1,0.8,0.4
1971-07-26,0.1,0.0,0.0,1.3,0.0,0.0,4.6,0.0,2.8,0.1
1971-07-27,0.1,0.0,0.0,12.6,0.0,0.0,3.7,0.3,0.0,0.1
1971-07-28,1.5,1.1,2.6,1.0,0.0,13.7,6.8,0.0,5.1,7.4
1971-07-29,2.7,3.2,13.6,0.1,0.1,9.9,37.0,1.1,9.4,15.6
1971-07-30,0.2,2.0,0.0,0.0,0.1,0.1,55.9,0.0,2.5,0.2
1971-07-31,24.6,9.6,0.0,13.8,0.3,0.0,55.9,0.0,0.1,0.0
1971-08-01,0.8,0.4,0.1,6.9,14.0,0.0,0.1,0.0,0.2,0.1
