"","DayMonth","corre_cnrmcclm","Baseline"
"286","10-12",7.48710344827586,11.9404482758621
"287","10-13",6.53603448275862,11.5046896551724
"288","10-14",5.73455172413793,9.45496551724138
"289","10-15",5.41244827586207,8.19141379310345
"290","10-16",5.55089655172414,7.35389655172414
"291","10-17",5.82079310344828,6.67710344827586
"292","10-18",5.75110344827586,7.321
"293","10-19",6.20544827586207,8.08265517241379
"294","10-20",7.54886206896552,8.51372413793104
"295","10-21",9.16989655172414,8.23944827586207
"296","10-22",10.3181379310345,7.69903448275862
"297","10-23",9.81255172413793,10.1468965517241
"298","10-24",10.7179655172414,11.9057586206897
"299","10-25",11.0911034482759,12.6626206896552
"300","10-26",9.3988275862069,16.1217931034483
"301","10-27",9.19,19.3436206896552
"302","10-28",9.09372413793103,18.5295862068966
"303","10-29",9.03558620689655,17.1364137931034
"304","10-30",8.72224137931035,15.6333448275862
"305","10-31",9.45762068965517,14.833724137931
"306","11-01",9.89268965517241,16.106
"307","11-02",10.1193793103448,16.8874827586207
"308","11-03",9.01548275862069,19.0874137931034
"309","11-04",7.81048275862069,19.9030344827586
"310","11-05",8.59213793103448,19.1145517241379
"311","11-06",9.40758620689655,16.7137931034483
"312","11-07",9.65596551724138,14.4323793103448
"313","11-08",8.61520689655172,13.4381034482759
"314","11-09",9.05144827586207,13.1624827586207
"315","11-10",11.1353793103448,13.4483103448276
"316","11-11",11.1562413793103,13.4996896551724
"317","11-12",11.2702068965517,13.1817586206897
"318","11-13",11.5965862068966,12.6145172413793
"319","11-14",10.7063448275862,13.2089310344828
"320","11-15",10.0686896551724,12.555275862069
"321","11-16",9.01589655172414,12.6243448275862
"322","11-17",8.39524137931035,13.6573448275862
"323","11-18",9.27741379310345,13.3511379310345
"324","11-19",8.96006896551724,13.0863448275862
"325","11-20",8.55213793103448,11.9086551724138
"326","11-21",8.44206896551724,10.7616896551724
"327","11-22",7.55565517241379,12.3158965517241
"328","11-23",7.21848275862069,14.4761724137931
