Date	Baseline	corre_cnrmcclm
2073-06-26	0	0
2073-06-27	0	0
2073-06-28	0	0
2073-06-29	0	0
2073-06-30	0	0
2073-07-01	0	0
2073-07-02	0	0
2073-07-03	0	0
2073-07-04	0	0
2073-07-05	0	0
2073-07-06	0	0
2073-07-07	0	0
2073-07-08	0	0
2073-07-09	0	0
2073-07-10	0	0
2073-07-11	0	0
2073-07-12	0	0
2073-07-13	0	0
2073-07-14	0	0
2073-07-15	0	0
2073-07-16	0	0
2073-07-17	0	0
2073-07-18	0	0
2073-07-19	0	0
2073-07-20	0	0
2073-07-21	0	0
2073-07-22	0	0
2073-07-23	0	0
2073-07-24	0	0
2073-07-25	0	0
2073-07-26	0	0
2073-07-27	0	0
2073-07-28	0	0
2073-07-29	0	0
2073-07-30	0	0
2073-07-31	0	0
2073-08-01	0	0
2073-08-02	0	0
2073-08-03	0	0
2073-08-04	0	0
2073-08-05	0	0
2073-08-06	0	0
2073-08-07	0	0
2073-08-08	0	0
2073-08-09	0	0
2073-08-10	0	0
2073-08-11	0	0
2073-08-12	0	0
2073-08-13	0	0
2073-08-14	0	0
2073-08-15	0	0
2073-08-16	0	0
2073-08-17	0	0
2073-08-18	0	0
2073-08-19	0	0
2073-08-20	0	0
2073-08-21	0	0
2073-08-22	0	0
2073-08-23	0	0
2073-08-24	0	0
2073-08-25	0	0
2073-08-26	0	0
2073-08-27	0	0
2073-08-28	0	0
2073-08-29	0	0
2073-08-30	0	0
2073-08-31	0	0
2073-09-01	0	0
2073-09-02	0	0
2073-09-03	0	0
2073-09-04	0	0
2073-09-05	0	0
2073-09-06	0	0
2073-09-07	0	0
2073-09-08	0	0
2073-09-09	0	0
2073-09-10	0	0
2073-09-11	0	0
2073-09-12	0	0
2073-09-13	0	0
2073-09-14	0	0
2073-09-15	0	0
2073-09-16	0	0
2073-09-17	0	0
2073-09-18	0	0
2073-09-19	0	0
2073-09-20	0	0
2073-09-21	0	0
2073-09-22	0	0
2073-09-23	0	0
2073-09-24	0	0
2073-09-25	0	0
2073-09-26	0	0
2073-09-27	0	0
2073-09-28	0	0
2073-09-29	0	0
2073-09-30	0	0
2073-10-01	0	0
2073-10-02	0	0
2073-10-03	0	0
2073-10-04	0	0
2073-10-05	0	0
2073-10-06	0	0
2073-10-07	0	0
2073-10-08	0	0
2073-10-09	0	0
2073-10-10	0	0
2073-10-11	0	0
2073-10-12	0	0
2073-10-13	0	0
2073-10-14	0	0
2073-10-15	0	0
2073-10-16	0	0
2073-10-17	0	0
2073-10-18	0	0
2073-10-19	0	0
2073-10-20	0	0
2073-10-21	0	0
2073-10-22	0	0
2073-10-23	0	0
2073-10-24	0	0
2073-10-25	0	0
2073-10-26	0	0
2073-10-27	0	0
2073-10-28	0	0
2073-10-29	0	0
2073-10-30	0	0
2073-10-31	0	0
2073-11-01	0	0
2073-11-02	0	0
2073-11-03	0	0
2073-11-04	0	0
2073-11-05	0	0
2073-11-06	3.267	0
2073-11-07	5.862	0
2073-11-08	6.347	0
2073-11-09	6.347	0
2073-11-10	7.288	0
2073-11-11	0.353	0
2073-11-12	0	0
2073-11-13	0	0
2073-11-14	0	0
2073-11-15	0.065	0
2073-11-16	0	0
2073-11-17	0	0
2073-11-18	0	3.556
2073-11-19	0	0
2073-11-20	0	0
2073-11-21	0	0
2073-11-22	0	0
2073-11-23	0	0
2073-11-24	1.154	0
2073-11-25	2.9	0
2073-11-26	6.734	0
2073-11-27	7.018	0
2073-11-28	33.108	0
2073-11-29	35.154	0
2073-11-30	45.709	0
2073-12-01	39.049	0
2073-12-02	33.316	0.31
2073-12-03	31.675	0.31
2073-12-04	34.774	0.31
2073-12-05	46.934	0.31
2073-12-06	47.022	1.819
2073-12-07	47.022	2.918
2073-12-08	47.022	23.07
2073-12-09	39.025	31.32
2073-12-10	29.651	31.32
2073-12-11	24.607	30.842
2073-12-12	24.559	27.314
2073-12-13	24.559	35.698
2073-12-14	24.559	29.238
2073-12-15	24.559	17.342
2073-12-16	24.559	9.251
2073-12-17	24.559	7.116
2073-12-18	24.559	6.315
2073-12-19	26.069	5.931
2073-12-20	26.069	5.931
2073-12-21	28.416	5.931
2073-12-22	28.416	5.931
2073-12-23	28.416	5.931
2073-12-24	33.121	5.931
2073-12-25	33.121	5.931
2073-12-26	33.121	5.896
2073-12-27	33.653	5.872
2073-12-28	33.653	6.345
2073-12-29	33.653	11.405
2073-12-30	33.653	11.405
2073-12-31	33.653	16.821
2074-01-01	33.653	20.105
2074-01-02	32.066	21.082
2074-01-03	32.066	24.86
2074-01-04	32.066	36.901
2074-01-05	32.066	56.511
2074-01-06	32.066	44.702
2074-01-07	32.066	42.627
2074-01-08	32.066	42.627
2074-01-09	31.246	42.519
2074-01-10	30.073	39.752
2074-01-11	27.315	39.752
2074-01-12	26.048	39.752
2074-01-13	23.323	39.752
2074-01-14	20.016	39.752
2074-01-15	16.008	39.752
2074-01-16	13.703	46.823
2074-01-17	11.725	57.437
2074-01-18	9.933	52.113
2074-01-19	9.911	48.377
2074-01-20	20.53	48.297
2074-01-21	20.12	48.297
2074-01-22	23.322	60.689
2074-01-23	18.869	60.205
2074-01-24	29.703	60.205
2074-01-25	34.497	66.508
2074-01-26	44.351	66.508
2074-01-27	57.223	66.508
2074-01-28	72.669	60.751
2074-01-29	92.979	59.099
2074-01-30	103.675	59.213
2074-01-31	116.991	63.385
2074-02-01	125.174	69.243
2074-02-02	112.754	76.514
2074-02-03	93.074	75.975
2074-02-04	80.74	75.691
2074-02-05	82.297	75.25
2074-02-06	74.13	75.25
2074-02-07	78.036	80.674
2074-02-08	86.779	78.781
2074-02-09	77.57	79.108
2074-02-10	67.683	91.176
2074-02-11	70.521	101.763
2074-02-12	84.23	106.243
2074-02-13	84.049	104.12
2074-02-14	84.049	110.812
2074-02-15	84.049	107.581
2074-02-16	78.399	109.408
2074-02-17	70.803	105.467
2074-02-18	65.997	103.866
2074-02-19	70.557	101.893
2074-02-20	70.557	100.233
2074-02-21	70.557	100.233
2074-02-22	96.833	100.233
2074-02-23	109.765	100.233
2074-02-24	109.765	100.233
2074-02-25	109.765	100.233
2074-02-26	116.511	100.233
2074-02-27	120.417	100.233
2074-02-28	122.992	100.233
2074-03-01	125.389	100.233
2074-03-02	130.449	100.233
2074-03-03	130.626	100.233
2074-03-04	130.853	100.233
2074-03-05	125.587	100.233
2074-03-06	127.327	100.826
2074-03-07	133.235	100.826
2074-03-08	132.981	100.826
2074-03-09	148.534	100.826
2074-03-10	152.251	100.826
2074-03-11	165.024	102.2
2074-03-12	157.83	102.186
2074-03-13	154.502	102.186
2074-03-14	154.402	102.175
2074-03-15	154.402	101.977
2074-03-16	154.262	101.977
2074-03-17	156.714	98.791
2074-03-18	157.6	91.354
2074-03-19	163.086	83.996
2074-03-20	158.263	79.698
2074-03-21	156.793	79.668
2074-03-22	156.523	79.663
2074-03-23	156.121	79.384
2074-03-24	155.737	78.392
2074-03-25	155.566	78.392
2074-03-26	155.388	78.392
2074-03-27	151.919	78.392
2074-03-28	148.156	81.308
