"","Date","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"5260",1971-05-27,7.953,9.62,7.648,7.942,8.233,9.766,10.036,8.917,7.188,8.243
"5261",1971-05-28,9.053,10.72,8.748,9.042,9.333,10.866,11.136,10.017,8.288,9.343
"5262",1971-05-29,13.453,15.12,13.148,13.442,13.733,15.266,15.536,14.417,12.688,13.743
"5263",1971-05-30,12.353,14.02,12.048,12.342,12.633,14.166,14.436,13.317,11.588,12.643
"5264",1971-05-31,13.453,15.12,13.148,13.442,13.733,15.266,15.536,14.417,12.688,13.743
"5265",1971-06-01,14.608,17.892,15.715,15.632,16.579,16.285,16.192,18.326,14.751,15.401
"5266",1971-06-02,15.808,19.092,16.915,16.832,17.779,17.485,17.392,19.526,15.951,16.601
"5267",1971-06-03,17.108,20.392,18.215,18.132,19.079,18.785,18.692,20.826,17.251,17.901
"5268",1971-06-04,17.208,20.492,18.315,18.232,19.179,18.885,18.792,20.926,17.351,18.001
"5269",1971-06-05,16.808,20.092,17.915,17.832,18.779,18.485,18.392,20.526,16.951,17.601
"5270",1971-06-06,15.908,19.192,17.015,16.932,17.879,17.585,17.492,19.626,16.051,16.701
"5271",1971-06-07,15.708,18.992,16.815,16.732,17.679,17.385,17.292,19.426,15.851,16.501
"5272",1971-06-08,14.708,17.992,15.815,15.732,16.679,16.385,16.292,18.426,14.851,15.501
"5273",1971-06-09,11.008,14.292,12.115,12.032,12.979,12.685,12.592,14.726,11.151,11.801
"5274",1971-06-10,10.208,13.492,11.315,11.232,12.179,11.885,11.792,13.926,10.351,11.001
"5275",1971-06-11,10.808,14.092,11.915,11.832,12.779,12.485,12.392,14.526,10.951,11.601
"5276",1971-06-12,14.108,17.392,15.215,15.132,16.079,15.785,15.692,17.826,14.251,14.901
"5277",1971-06-13,14.508,17.792,15.615,15.532,16.479,16.185,16.092,18.226,14.651,15.301
"5278",1971-06-14,12.708,15.992,13.815,13.732,14.679,14.385,14.292,16.426,12.851,13.501
"5279",1971-06-15,9.708,12.992,10.815,10.732,11.679,11.385,11.292,13.426,9.851,10.501
"5280",1971-06-16,10.108,13.392,11.215,11.132,12.079,11.785,11.692,13.826,10.251,10.901
"5281",1971-06-17,9.508,12.792,10.615,10.532,11.479,11.185,11.092,13.226,9.651,10.301
