"","Date","Obs","Month","CNRM_CCLM","CNRM_RCA","EC.EARTH_CCLM","EC.EARTH_HIRHAM","EC.EARTH_RACMO","EC.EARTH_RCA","HADGEM_RCA","IPSL_RCA","MPI_CCLM","MPI_RCA"
"5326",1971-08-01,10.4,"08",7.8312,10.9096,5.7928,6.2192,10.9304,8.3616,6.6664,10.7016,9.0688,8.5488
"5327",1971-08-02,0.6,"08",0.4518,0.6294,0.3342,0.3588,0.6306,0.4824,0.3846,0.6174,0.5232,0.4932
"5328",1971-08-03,0.5,"08",0.3765,0.5245,0.2785,0.299,0.5255,0.402,0.3205,0.5145,0.436,0.411
"5329",1971-08-04,6.6,"08",4.9698,6.9234,3.6762,3.9468,6.9366,5.3064,4.2306,6.7914,5.7552,5.4252
"5330",1971-08-05,10.1,"08",7.6053,10.5949,5.6257,6.0398,10.6151,8.1204,6.4741,10.3929,8.8072,8.3022
"5331",1971-08-06,30.1,"08",22.6653,31.5749,16.7657,17.9998,31.6351,24.2004,19.2941,30.9729,26.2472,24.7422
"5332",1971-08-07,14.1,"08",10.6173,14.7909,7.8537,8.4318,14.8191,11.3364,9.0381,14.5089,12.2952,11.5902
"5333",1971-08-08,4,"08",3.012,4.196,2.228,2.392,4.204,3.216,2.564,4.116,3.488,3.288
"5334",1971-08-09,0.7,"08",0.5271,0.7343,0.3899,0.4186,0.7357,0.5628,0.4487,0.7203,0.6104,0.5754
"5335",1971-08-10,0.3,"08",0.2259,0.3147,0.1671,0.1794,0.3153,0.2412,0.1923,0.3087,0.2616,0.2466
"5336",1971-08-11,0,"08",0,0,0,0,0,0,0,0,0,0
"5337",1971-08-12,0,"08",0,0,0,0,0,0,0,0,0,0
"5338",1971-08-13,0,"08",0,0,0,0,0,0,0,0,0,0
"5339",1971-08-14,11.3,"08",8.5089,11.8537,6.2941,6.7574,11.8763,9.0852,7.2433,11.6277,9.8536,9.2886
"5340",1971-08-15,28.8,"08",21.6864,30.2112,16.0416,17.2224,30.2688,23.1552,18.4608,29.6352,25.1136,23.6736
"5341",1971-08-16,0.3,"08",0.2259,0.3147,0.1671,0.1794,0.3153,0.2412,0.1923,0.3087,0.2616,0.2466
"5342",1971-08-17,0,"08",0,0,0,0,0,0,0,0,0,0
"5343",1971-08-18,0,"08",0,0,0,0,0,0,0,0,0,0
"5344",1971-08-19,0,"08",0,0,0,0,0,0,0,0,0,0
"5345",1971-08-20,0,"08",0,0,0,0,0,0,0,0,0,0
"5346",1971-08-21,0,"08",0,0,0,0,0,0,0,0,0,0
"5347",1971-08-22,0,"08",0,0,0,0,0,0,0,0,0,0
"5348",1971-08-23,0,"08",0,0,0,0,0,0,0,0,0,0
"5349",1971-08-24,0,"08",0,0,0,0,0,0,0,0,0,0
"5350",1971-08-25,0,"08",0,0,0,0,0,0,0,0,0,0
"5351",1971-08-26,0,"08",0,0,0,0,0,0,0,0,0,0
"5352",1971-08-27,0,"08",0,0,0,0,0,0,0,0,0,0
"5353",1971-08-28,3.9,"08",2.9367,4.0911,2.1723,2.3322,4.0989,3.1356,2.4999,4.0131,3.4008,3.2058
"5354",1971-08-29,7.4,"08",5.5722,7.7626,4.1218,4.4252,7.7774,5.9496,4.7434,7.6146,6.4528,6.0828
"5355",1971-08-30,8.1,"08",6.0993,8.4969,4.5117,4.8438,8.5131,6.5124,5.1921,8.3349,7.0632,6.6582
"5356",1971-08-31,1.8,"08",1.3554,1.8882,1.0026,1.0764,1.8918,1.4472,1.1538,1.8522,1.5696,1.4796
"5357",1971-09-01,7.2,"09",5.1768,5.688,4.5792,7.1208,7.056,5.328,5.4144,6.2424,5.1264,7.4304
"5358",1971-09-02,5.6,"09",4.0264,4.424,3.5616,5.5384,5.488,4.144,4.2112,4.8552,3.9872,5.7792
"5359",1971-09-03,0,"09",0,0,0,0,0,0,0,0,0,0
"5360",1971-09-04,0,"09",0,0,0,0,0,0,0,0,0,0
"5361",1971-09-05,6.6,"09",4.7454,5.214,4.1976,6.5274,6.468,4.884,4.9632,5.7222,4.6992,6.8112
"5362",1971-09-06,0,"09",0,0,0,0,0,0,0,0,0,0
"5363",1971-09-07,0,"09",0,0,0,0,0,0,0,0,0,0
"5364",1971-09-08,0,"09",0,0,0,0,0,0,0,0,0,0
"5365",1971-09-09,0,"09",0,0,0,0,0,0,0,0,0,0
"5366",1971-09-10,0,"09",0,0,0,0,0,0,0,0,0,0
"5367",1971-09-11,0,"09",0,0,0,0,0,0,0,0,0,0
"5368",1971-09-12,0.1,"09",0.0719,0.079,0.0636,0.0989,0.098,0.074,0.0752,0.0867,0.0712,0.1032
"5369",1971-09-13,0.1,"09",0.0719,0.079,0.0636,0.0989,0.098,0.074,0.0752,0.0867,0.0712,0.1032
"5370",1971-09-14,0.1,"09",0.0719,0.079,0.0636,0.0989,0.098,0.074,0.0752,0.0867,0.0712,0.1032
"5371",1971-09-15,0.3,"09",0.2157,0.237,0.1908,0.2967,0.294,0.222,0.2256,0.2601,0.2136,0.3096
"5372",1971-09-16,0,"09",0,0,0,0,0,0,0,0,0,0
"5373",1971-09-17,0.3,"09",0.2157,0.237,0.1908,0.2967,0.294,0.222,0.2256,0.2601,0.2136,0.3096
"5374",1971-09-18,1.6,"09",1.1504,1.264,1.0176,1.5824,1.568,1.184,1.2032,1.3872,1.1392,1.6512
"5375",1971-09-19,0.3,"09",0.2157,0.237,0.1908,0.2967,0.294,0.222,0.2256,0.2601,0.2136,0.3096
"5376",1971-09-20,2.2,"09",1.5818,1.738,1.3992,2.1758,2.156,1.628,1.6544,1.9074,1.5664,2.2704
"5377",1971-09-21,0,"09",0,0,0,0,0,0,0,0,0,0
"5378",1971-09-22,0.3,"09",0.2157,0.237,0.1908,0.2967,0.294,0.222,0.2256,0.2601,0.2136,0.3096
"5379",1971-09-23,0,"09",0,0,0,0,0,0,0,0,0,0
"5380",1971-09-24,8.1,"09",5.8239,6.399,5.1516,8.0109,7.938,5.994,6.0912,7.0227,5.7672,8.3592
"5381",1971-09-25,1.3,"09",0.9347,1.027,0.8268,1.2857,1.274,0.962,0.9776,1.1271,0.9256,1.3416
"5382",1971-09-26,0,"09",0,0,0,0,0,0,0,0,0,0
"5383",1971-09-27,0.1,"09",0.0719,0.079,0.0636,0.0989,0.098,0.074,0.0752,0.0867,0.0712,0.1032
"5384",1971-09-28,2.6,"09",1.8694,2.054,1.6536,2.5714,2.548,1.924,1.9552,2.2542,1.8512,2.6832
"5385",1971-09-29,0,"09",0,0,0,0,0,0,0,0,0,0
"5386",1971-09-30,11.8,"09",8.4842,9.322,7.5048,11.6702,11.564,8.732,8.8736,10.2306,8.4016,12.1776
"5387",1971-10-01,0,"10",0,0,0,0,0,0,0,0,0,0
"5388",1971-10-02,0,"10",0,0,0,0,0,0,0,0,0,0
"5389",1971-10-03,0.3,"10",0.1818,0.2484,0.243,0.318,0.2937,0.2979,0.2757,0.2355,0.2148,0.2421
