"","Date","CNRMCCLM","CNRMRCA","ECEARTHCCLM","ECEARTHHIRHAM","ECEARTHRACMO","ECEARTHRCA","HADGEMRCA","IPSLRCA","MPICCLM","MPIRCA"
"5278",1971-06-14,0,0,0,0,0,0,0,0,0,0
"5279",1971-06-15,0,0,0,0,0,0,0,0,0,0
"5280",1971-06-16,0,0,0,0,0,0,0,0,0,0
"5281",1971-06-17,0,0,0,0,0,0,0,0,0,0
"5282",1971-06-18,6.4155,8.4955,5.902,7.3905,6.3505,5.6745,8.489,7.2735,7.462,6.266
"5283",1971-06-19,0,0,0,0,0,0,0,0,0,0
"5284",1971-06-20,0.0987,0.1307,0.0908,0.1137,0.0977,0.0873,0.1306,0.1119,0.1148,0.0964
"5285",1971-06-21,2.5662,3.3982,2.3608,2.9562,2.5402,2.2698,3.3956,2.9094,2.9848,2.5064
"5286",1971-06-22,3.3558,4.4438,3.0872,3.8658,3.3218,2.9682,4.4404,3.8046,3.9032,3.2776
"5287",1971-06-23,1.1844,1.5684,1.0896,1.3644,1.1724,1.0476,1.5672,1.3428,1.3776,1.1568
"5288",1971-06-24,0,0,0,0,0,0,0,0,0,0
"5289",1971-06-25,3.7506,4.9666,3.4504,4.3206,3.7126,3.3174,4.9628,4.2522,4.3624,3.6632
"5290",1971-06-26,0.0987,0.1307,0.0908,0.1137,0.0977,0.0873,0.1306,0.1119,0.1148,0.0964
"5291",1971-06-27,6.8103,9.0183,6.2652,7.8453,6.7413,6.0237,9.0114,7.7211,7.9212,6.6516
"5292",1971-06-28,0,0,0,0,0,0,0,0,0,0
"5293",1971-06-29,0,0,0,0,0,0,0,0,0,0
"5294",1971-06-30,0,0,0,0,0,0,0,0,0,0
"5295",1971-07-01,0,0,0,0,0,0,0,0,0,0
"5296",1971-07-02,0,0,0,0,0,0,0,0,0,0
"5297",1971-07-03,0,0,0,0,0,0,0,0,0,0
"5298",1971-07-04,0,0,0,0,0,0,0,0,0,0
"5299",1971-07-05,0,0,0,0,0,0,0,0,0,0
"5300",1971-07-06,0,0,0,0,0,0,0,0,0,0
"5301",1971-07-07,0,0,0,0,0,0,0,0,0,0
"5302",1971-07-08,0,0,0,0,0,0,0,0,0,0
"5303",1971-07-09,0,0,0,0,0,0,0,0,0,0
"5304",1971-07-10,0,0,0,0,0,0,0,0,0,0
"5305",1971-07-11,0,0,0,0,0,0,0,0,0,0
"5306",1971-07-12,0,0,0,0,0,0,0,0,0,0
"5307",1971-07-13,0,0,0,0,0,0,0,0,0,0
"5308",1971-07-14,0,0,0,0,0,0,0,0,0,0
"5309",1971-07-15,0,0,0,0,0,0,0,0,0,0
"5310",1971-07-16,0,0,0,0,0,0,0,0,0,0
"5311",1971-07-17,0.2332,0.4212,0.3116,0.3132,0.5128,0.3212,0.432,0.4136,0.3516,0.3808
"5312",1971-07-18,0.1749,0.3159,0.2337,0.2349,0.3846,0.2409,0.324,0.3102,0.2637,0.2856
"5313",1971-07-19,1.1077,2.0007,1.4801,1.4877,2.4358,1.5257,2.052,1.9646,1.6701,1.8088
"5314",1971-07-20,0,0,0,0,0,0,0,0,0,0
"5315",1971-07-21,0.1166,0.2106,0.1558,0.1566,0.2564,0.1606,0.216,0.2068,0.1758,0.1904
"5316",1971-07-22,0,0,0,0,0,0,0,0,0,0
"5317",1971-07-23,0,0,0,0,0,0,0,0,0,0
"5318",1971-07-24,0,0,0,0,0,0,0,0,0,0
"5319",1971-07-25,9.5029,17.1639,12.6977,12.7629,20.8966,13.0889,17.604,16.8542,14.3277,15.5176
"5320",1971-07-26,0.9911,1.7901,1.3243,1.3311,2.1794,1.3651,1.836,1.7578,1.4943,1.6184
"5321",1971-07-27,4.4308,8.0028,5.9204,5.9508,9.7432,6.1028,8.208,7.8584,6.6804,7.2352
"5322",1971-07-28,0,0,0,0,0,0,0,0,0,0
"5323",1971-07-29,0,0,0,0,0,0,0,0,0,0
"5324",1971-07-30,6.7045,12.1095,8.9585,9.0045,14.743,9.2345,12.42,11.891,10.1085,10.948
"5325",1971-07-31,2.915,5.265,3.895,3.915,6.41,4.015,5.4,5.17,4.395,4.76
"5326",1971-08-01,7.1032,10.4,6.1464,5.6056,9.8696,8.8088,8.3616,10.3064,9.568,9.5472
"5327",1971-08-02,0.4098,0.6,0.3546,0.3234,0.5694,0.5082,0.4824,0.5946,0.552,0.5508
"5328",1971-08-03,0.3415,0.5,0.2955,0.2695,0.4745,0.4235,0.402,0.4955,0.46,0.459
"5329",1971-08-04,4.5078,6.6,3.9006,3.5574,6.2634,5.5902,5.3064,6.5406,6.072,6.0588
"5330",1971-08-05,6.8983,10.1,5.9691,5.4439,9.5849,8.5547,8.1204,10.0091,9.292,9.2718
"5331",1971-08-06,20.5583,30.1,17.7891,16.2239,28.5649,25.4947,24.2004,29.8291,27.692,27.6318
"5332",1971-08-07,9.6303,14.1,8.3331,7.5999,13.3809,11.9427,11.3364,13.9731,12.972,12.9438
"5333",1971-08-08,2.732,4,2.364,2.156,3.796,3.388,3.216,3.964,3.68,3.672
"5334",1971-08-09,0.4781,0.7,0.4137,0.3773,0.6643,0.5929,0.5628,0.6937,0.644,0.6426
"5335",1971-08-10,0.2049,0.3,0.1773,0.1617,0.2847,0.2541,0.2412,0.2973,0.276,0.2754
"5336",1971-08-11,0,0,0,0,0,0,0,0,0,0
"5337",1971-08-12,0,0,0,0,0,0,0,0,0,0
"5338",1971-08-13,0,0,0,0,0,0,0,0,0,0
"5339",1971-08-14,7.7179,11.3,6.6783,6.0907,10.7237,9.5711,9.0852,11.1983,10.396,10.3734
"5340",1971-08-15,19.6704,28.8,17.0208,15.5232,27.3312,24.3936,23.1552,28.5408,26.496,26.4384
"5341",1971-08-16,0.2049,0.3,0.1773,0.1617,0.2847,0.2541,0.2412,0.2973,0.276,0.2754
"5342",1971-08-17,0,0,0,0,0,0,0,0,0,0
"5343",1971-08-18,0,0,0,0,0,0,0,0,0,0
"5344",1971-08-19,0,0,0,0,0,0,0,0,0,0
"5345",1971-08-20,0,0,0,0,0,0,0,0,0,0
"5346",1971-08-21,0,0,0,0,0,0,0,0,0,0
"5347",1971-08-22,0,0,0,0,0,0,0,0,0,0
"5348",1971-08-23,0,0,0,0,0,0,0,0,0,0
"5349",1971-08-24,0,0,0,0,0,0,0,0,0,0
"5350",1971-08-25,0,0,0,0,0,0,0,0,0,0
"5351",1971-08-26,0,0,0,0,0,0,0,0,0,0
"5352",1971-08-27,0,0,0,0,0,0,0,0,0,0
"5353",1971-08-28,2.6637,3.9,2.3049,2.1021,3.7011,3.3033,3.1356,3.8649,3.588,3.5802
"5354",1971-08-29,5.0542,7.4,4.3734,3.9886,7.0226,6.2678,5.9496,7.3334,6.808,6.7932
"5355",1971-08-30,5.5323,8.1,4.7871,4.3659,7.6869,6.8607,6.5124,8.0271,7.452,7.4358
"5356",1971-08-31,1.2294,1.8,1.0638,0.9702,1.7082,1.5246,1.4472,1.7838,1.656,1.6524
"5357",1971-09-01,6.3144,6.2136,4.1184,5.7744,7.5384,4.9752,5.0184,7.6536,4.9032,7.5672
"5358",1971-09-02,4.9112,4.8328,3.2032,4.4912,5.8632,3.8696,3.9032,5.9528,3.8136,5.8856
"5359",1971-09-03,0,0,0,0,0,0,0,0,0,0
"5360",1971-09-04,0,0,0,0,0,0,0,0,0,0
"5361",1971-09-05,5.7882,5.6958,3.7752,5.2932,6.9102,4.5606,4.6002,7.0158,4.4946,6.9366
"5362",1971-09-06,0,0,0,0,0,0,0,0,0,0
"5363",1971-09-07,0,0,0,0,0,0,0,0,0,0
"5364",1971-09-08,0,0,0,0,0,0,0,0,0,0
"5365",1971-09-09,0,0,0,0,0,0,0,0,0,0
"5366",1971-09-10,0,0,0,0,0,0,0,0,0,0
"5367",1971-09-11,0,0,0,0,0,0,0,0,0,0
"5368",1971-09-12,0.0877,0.0863,0.0572,0.0802,0.1047,0.0691,0.0697,0.1063,0.0681,0.1051
"5369",1971-09-13,0.0877,0.0863,0.0572,0.0802,0.1047,0.0691,0.0697,0.1063,0.0681,0.1051
"5370",1971-09-14,0.0877,0.0863,0.0572,0.0802,0.1047,0.0691,0.0697,0.1063,0.0681,0.1051
"5371",1971-09-15,0.2631,0.2589,0.1716,0.2406,0.3141,0.2073,0.2091,0.3189,0.2043,0.3153
"5372",1971-09-16,0,0,0,0,0,0,0,0,0,0
"5373",1971-09-17,0.2631,0.2589,0.1716,0.2406,0.3141,0.2073,0.2091,0.3189,0.2043,0.3153
"5374",1971-09-18,1.4032,1.3808,0.9152,1.2832,1.6752,1.1056,1.1152,1.7008,1.0896,1.6816
"5375",1971-09-19,0.2631,0.2589,0.1716,0.2406,0.3141,0.2073,0.2091,0.3189,0.2043,0.3153
"5376",1971-09-20,1.9294,1.8986,1.2584,1.7644,2.3034,1.5202,1.5334,2.3386,1.4982,2.3122
"5377",1971-09-21,0,0,0,0,0,0,0,0,0,0
"5378",1971-09-22,0.2631,0.2589,0.1716,0.2406,0.3141,0.2073,0.2091,0.3189,0.2043,0.3153
"5379",1971-09-23,0,0,0,0,0,0,0,0,0,0
"5380",1971-09-24,7.1037,6.9903,4.6332,6.4962,8.4807,5.5971,5.6457,8.6103,5.5161,8.5131
"5381",1971-09-25,1.1401,1.1219,0.7436,1.0426,1.3611,0.8983,0.9061,1.3819,0.8853,1.3663
"5382",1971-09-26,0,0,0,0,0,0,0,0,0,0
"5383",1971-09-27,0.0877,0.0863,0.0572,0.0802,0.1047,0.0691,0.0697,0.1063,0.0681,0.1051
"5384",1971-09-28,2.2802,2.2438,1.4872,2.0852,2.7222,1.7966,1.8122,2.7638,1.7706,2.7326
"5385",1971-09-29,0,0,0,0,0,0,0,0,0,0
"5386",1971-09-30,10.3486,10.1834,6.7496,9.4636,12.3546,8.1538,8.2246,12.5434,8.0358,12.4018
"5387",1971-10-01,0,0,0,0,0,0,0,0,0,0
"5388",1971-10-02,0,0,0,0,0,0,0,0,0,0
"5389",1971-10-03,0.1656,0.2229,0.282,0.2778,0.3006,0.3291,0.2511,0.258,0.2085,0.2433
"5390",1971-10-04,0,0,0,0,0,0,0,0,0,0
"5391",1971-10-05,0,0,0,0,0,0,0,0,0,0
"5392",1971-10-06,0.0552,0.0743,0.094,0.0926,0.1002,0.1097,0.0837,0.086,0.0695,0.0811
"5393",1971-10-07,1.2696,1.7089,2.162,2.1298,2.3046,2.5231,1.9251,1.978,1.5985,1.8653
"5394",1971-10-08,0,0,0,0,0,0,0,0,0,0
"5395",1971-10-09,0.0552,0.0743,0.094,0.0926,0.1002,0.1097,0.0837,0.086,0.0695,0.0811
